web-scraper-order,web-scraper-start-url,Product,Product-href,Name,price,Rating,Review,Description,ASIN,Product Description,Manufracturer
1692629585-1,https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Wildcraft 29.5 Ltrs Black Casual Backpack (11947 Black),https://www.amazon.in/Wildcraft-Black-Casual-Backpack-11947/dp/B07N2LC749/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1692629576&sprefix=ba%2Caps%2C283&sr=8-308,Wildcraft 29.5 Ltrs Black Casual Backpack (11947 Black),"1,168","1,044 ratings",4.3 out of 5 stars,Capacity: 29.5 liters; Weight: 372 grams; Dimensions: 33 cms x 19 cms x 47 cms (LxWxH),B07N2LC749,Introducing a line of backpacks specially designed to fit feminine frames. These quirky backpacks hug your shoulders without hurting your back.,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Wildcraft"
1692629590-2,https://www.amazon.in/s?k=bags&page=20&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",https://www.amazon.in/FunBlast-Mens-Womens-Sling-Multicolour/dp/B09N42KLNX/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1692629576&sprefix=ba%2Caps%2C283&sr=8-307,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",351,205 ratings,3.6 out of 5 stars,Unicorn Sling Bag - Pop Fidget Sling bag size 13.5X8.5X4 CM – unicorn silicone sling bag has enough space.; Sling bag is easy to be cleaned and Easy to carry.<br>,B09N42KLNX,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color) Unicorn Pop It Purse for Girls – FunBlast Unique Design popit purse have attractive design and color that’s attract you and it is not only can be used as a bag, but also a stress relieve toy. Our pop bubble unicorn purse is made of safe and durable silicone which is non-toxic. So, you can give your kids to play and you don’t have to worry about the safety Unicorn Sling Bag - Pop Fidget Sling bag size 13.5X8.5X4 CM – unicorn silicone sling bag has enough space. Sling bag is easy to be cleaned and Easy to carry. Bend it, squish it and squeeze it. Press the pop-up bubbles in a line and the one who press the last one bubble will lose. Help you or your children to concentrate, reduce anxiety and pressure, build emotional stability","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 FunBlast"
1692629600-3,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Lino Perros womens handbag,https://www.amazon.in/Lino-Perros-Womens-Floral-Peach/dp/B0B57B7KV7/ref=sr_1_308?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-308,Lino Perros womens handbag,"1,168","3,496 ratings",4.1 out of 5 stars,premium,B0B57B7KV7,"This fashionable lavender women structured handbag is elegant & minimalistic. The smooth grained pattern on the surface of its plain faux leather goes with both formal & casual look. The light gold finished hardware gives it a classy touch. It has a spacious compartment that could hold essentials like mobile phones, cards, makeup, etc. The branded Lino Perros bags are a must have for all the ladies/girls.","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 SUMITSU APPAREL PVT. LTD, Plot No. 324, Phase IV, Sector 18, Gurugram, Haryana ,"
1692629605-4,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",https://www.amazon.in/FunBlast-Mens-Womens-Sling-Multicolour/dp/B09N42KLNX/ref=sr_1_307?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-307,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color)",351,205 ratings,3.6 out of 5 stars,Unicorn Sling Bag - Pop Fidget Sling bag size 13.5X8.5X4 CM – unicorn silicone sling bag has enough space.; Sling bag is easy to be cleaned and Easy to carry.<br>,B09N42KLNX,"FunBlast Unicorn Pop it Sling Bag - Crossbody Bag for Kids, Pop it Purse for Girls, Pop It Bag for Girls, Pop it Bag for Girls, (Pack of 1 Pcs Random Color) Unicorn Pop It Purse for Girls – FunBlast Unique Design popit purse have attractive design and color that’s attract you and it is not only can be used as a bag, but also a stress relieve toy. Our pop bubble unicorn purse is made of safe and durable silicone which is non-toxic. So, you can give your kids to play and you don’t have to worry about the safety Unicorn Sling Bag - Pop Fidget Sling bag size 13.5X8.5X4 CM – unicorn silicone sling bag has enough space. Sling bag is easy to be cleaned and Easy to carry. Bend it, squish it and squeeze it. Press the pop-up bubbles in a line and the one who press the last one bubble will lose. Help you or your children to concentrate, reduce anxiety and pressure, build emotional stability","Manufacturer
                                    ‏
                                        :
                                    ‎
                                 FunBlast"
1692629609-5,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,https://www.amazon.in/COSMUS-Polyester-Multi-functional-Convertible-15-6-Inch/dp/B07D1R1K84/ref=sr_1_306?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-306,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"2,255",979 ratings,4.2 out of 5 stars,,Cosmus,"Cosmus Agility - Must have for travel enthusiast tech savvy guys

 Cosmus bases on the cutting-edge of fashion trends, pursuing the best quality of bag category and devoting to providing the best product and service to customers. We make every effort to achieve the best in every detail of design, color, material, sewing, sales and service. Over the years we earned customer trust and this entrust us to provide high quality bags. 

 Backpack style
 Comfortable back strap system, easy and convenient to load on your back.

 Shoulder bag style
 One back pocket for hiding the back straps, A removable Shoulder strap been included, when you use it as a shoulder bag.

 Messenger bag style
 One back pocket for hiding the back straps when you use it as a messenger bag.","Date First Available
                                    ‏
                                        :
                                    ‎
                                 11 May 2018"
1692629614-6,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Yogwise Yoga Mat Bag for Women and Men, Fabric Exercise Mat Carry Bag Cover and Shoulder Strap Water Proof Polyster Material 4mm to 6mm Yoga Mat Fit Black",https://www.amazon.in/Yogwise-Yoga-Mat-Bag-Exercise/dp/B0CB1K1H3N/ref=sr_1_305?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-305,"Yogwise Yoga Mat Bag for Women and Men, Fabric Exercise Mat Carry Bag Cover and Shoulder Strap Water Proof Polyster Material 4mm to 6mm Yoga Mat Fit Black",195,5 ratings,5.0 out of 5 stars,Adjustable Strap: The bag is equipped with an adjustable shoulder strap that can be customized to your preferred length. This feature ensures a comfortable fit and allows you to carry the bag conveniently over your shoulder or across your chest.,,,
1692629619-7,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Hian Heavy Double Layer Produce Bags Washable, Reusable, Multipurpose, Lightweight Mesh Grocery Bags for Fruits, (Pack of 06)",https://www.amazon.in/Hian-Multipurpose-Lightweight-Pack-06/dp/B0BWFJSZVC/ref=sr_1_304?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-304,"Hian Heavy Double Layer Produce Bags Washable, Reusable, Multipurpose, Lightweight Mesh Grocery Bags for Fruits, (Pack of 06)",249,8 ratings,5.0 out of 5 stars,"Cleaning: The bags are reusable and easy to clean. You can wash them by hand with soap and water, or you can put them in the washing machine on a gentle cycle. Make sure to let them air dry before using them again.",Pack Of 06,,"ASIN
                                    ‏
                                        :
                                    ‎
                                 B0BWFJSZVC"
1692629625-8,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,American Tourister Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue),https://www.amazon.in/American-Tourister-FJ9-01-002/dp/B07N19CXKM/ref=sr_1_303?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-303,American Tourister Ohio Polyester 65 Cms Wheel Travel Duffle Bag (Blue),"1,999","1,281 ratings",4.2 out of 5 stars,Capacity: 83 liters; Dimensions: 65 cms x 30 cms x 33 cms (LxWxH),B07N19CXKM,"The fashion conscious and on-trend American Tourister patron prefers to step-out in style no matter the occasion. Be it a trip to the gym, an overnighter or a vacation – we have a design to suit every need. Like all products from the brand, our duffel bags meet the highest quality standards for which American Tourister is known. This attention to detail is reflected in the positive feedback from our customers in 100+ countries. Made from premium dobby double dot fabric, this durable duffle offers reliability that stands up to the wear and tear of travel. The duffel bag’s lightweight design makes it a perfect companion for all your gym needs or even as a carry-on during a weekend getaway! Designed for unisex use, this bag is a good substitute for a suitcase – minus the weight and bulkiness. The main compartment offers a wide u-shaped opening for absolute hassle-free packing. There is also a spacious front quick access pocket to store a hand towel, an extra t-shirt or anything else you might need on the go. The detachable shoulder strap may also be adjusted to suit the height and stature of the person holding it. Additionally, the bag is equipped with twin grab handles to alternate carrying with the shoulder strap. Number of Compartments: 1",Country of Origin: China.
1692629630-9,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey",https://www.amazon.in/Gizga-Essentials-Organizer-Multi-Utility-Cosmetics/dp/B09WVRKYCJ/ref=sr_1_302?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-302,"Gizga Essentials Travel Toiletry Kit Bag for Men & Women, Travel Organizer Case with Handle & Hook, Premium Zipper, Multiple Pockets, Multi-Utility Pouch for Shaving Makeup Cosmetics, Light Grey",349,176 ratings,4.2 out of 5 stars,"MANY APPLICATIONS: Our bag can be used as a Toiletry Bag, Travel Organizer Bag, Makeup & Cosmetic Bag, Healthcare Bag, or Gym Bag and is a perfect choice to take on any Business Trip, Outdoor Activity, or Vacation.",,,
1692629636-10,https://www.amazon.in/s?k=bags&page=19&crid=2M096C61O4MLT&qid=1692624945&sprefix=ba%2Caps%2C283&ref=sr_pg_2,Lavie Women's Betula Tote Bag | Ladies Purse Handbag,https://www.amazon.in/Lavie-Betula-Womens-Tote-Mint/dp/B08J8M2B42/ref=sr_1_301?crid=2M096C61O4MLT&keywords=bags&qid=1692629592&sprefix=ba%2Caps%2C283&sr=8-301,Lavie Women's Betula Tote Bag | Ladies Purse Handbag,"1,049","20,524 ratings",4.1 out of 5 stars,"But that's not all - this handbag also features slip pockets and one zip pocket inside, giving you even more space for multiple storage options. And let's not forget about the zip pocket on the outside of the bag, perfect for storing items you need to access quickly",B08J8M2B42,Classic everyday tote given a metallic twist single compartment with center divider multiple pockets.,"Manufacturer
                                    ‏
                                        :
                                    ‎
                                 Bagzone Lifestyle Pvt Ltd"
